embedding_name,configuration,clue,word0ForClue,word1ForClue,blueWord0,blueWord1,blueWord2,blueWord3,blueWord4,blueWord5,blueWord6,blueWord7,blueWord8,blueWord9,redWord0,redWord1,redWord2,redWord3,redWord4,redWord5,redWord6,redWord7,redWord8,redWord9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",gigantic,mammoth,giant,dwarf,bolt,beach,boom,well,mammoth,ivory,nut,sink,giant,bison,egypt,mouse,field,cell,head,crown,ham,fall,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",beginning,point,fall,point,satellite,pipe,shadow,swing,fall,heart,gas,turkey,cap,tower,ground,box,octopus,lawyer,dance,conductor,suit,pyramid,jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",important,point,well,fan,point,flute,egypt,round,well,fork,lemon,luck,circle,cold,thumb,march,ghost,grass,jack,heart,ham,board,olympus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",television,opera,satellite,opera,carrot,satellite,tag,africa,fire,bottle,snowman,cloak,king,egypt,whip,bark,pistol,spider,boot,hood,rose,jupiter,charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",physician,nurse,scientist,tie,nurse,needle,shadow,pirate,ground,ruler,fish,kid,scientist,post,flute,boom,foot,racket,head,cloak,figure,brush,phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",boy,robot,kid,beach,robot,whip,india,boom,watch,key,bug,parachute,kid,pit,flute,plate,march,africa,field,bottle,change,torch,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",mountain,mammoth,alps,cross,mammoth,torch,mercury,compound,moon,board,hood,alps,shoe,piano,pistol,box,washer,greece,fall,grass,jupiter,disease,cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",airplane,car,jet,server,car,vacuum,spot,play,beijing,soul,nut,lock,jet,port,pit,well,pirate,saturn,grass,cloak,unicorn,green,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",crude,oil,pound,oil,ice,kangaroo,pound,bomb,robin,amazon,alps,brush,pyramid,pan,march,round,ghost,ruler,cold,glove,shoe,suit,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gloveWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",silver,glass,gold,table,kangaroo,glass,germany,gold,field,casino,pistol,kid,lock,server,oil,point,nurse,beach,march,pipe,tap,ivory,drill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",gigantic,mammoth,giant,dwarf,bolt,beach,boom,well,mammoth,ivory,nut,sink,giant,bison,egypt,mouse,field,cell,head,crown,ham,fall,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",slide,swing,fall,point,satellite,pipe,shadow,swing,fall,heart,gas,turkey,cap,tower,ground,box,octopus,lawyer,dance,conductor,suit,pyramid,jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",good,well,luck,fan,point,flute,egypt,round,well,fork,lemon,luck,circle,cold,thumb,march,ghost,grass,jack,heart,ham,board,olympus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",queen,cloak,king,opera,carrot,satellite,tag,africa,fire,bottle,snowman,cloak,king,egypt,whip,bark,pistol,spider,boot,hood,rose,jupiter,charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",researcher,nurse,scientist,tie,nurse,needle,shadow,pirate,ground,ruler,fish,kid,scientist,post,flute,boom,foot,racket,head,cloak,figure,brush,phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",spaceship,robot,parachute,beach,robot,whip,india,boom,watch,key,bug,parachute,kid,pit,flute,plate,march,africa,field,bottle,change,torch,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",directors,mammoth,board,cross,mammoth,torch,mercury,compound,moon,board,hood,alps,shoe,piano,pistol,box,washer,greece,fall,grass,jupiter,disease,cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",vm,server,beijing,server,car,vacuum,spot,play,beijing,soul,nut,lock,jet,port,pit,well,pirate,saturn,grass,cloak,unicorn,green,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",bird,kangaroo,robin,oil,ice,kangaroo,pound,bomb,robin,amazon,alps,brush,pyramid,pan,march,round,ghost,ruler,cold,glove,shoe,suit,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word2vecWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",silver,glass,gold,table,kangaroo,glass,germany,gold,field,casino,pistol,kid,lock,server,oil,point,nurse,beach,march,pipe,tap,ivory,drill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",keep,dwarf,well,dwarf,bolt,beach,boom,well,mammoth,ivory,nut,sink,giant,bison,egypt,mouse,field,cell,head,crown,ham,fall,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",approximately,satellite,turkey,point,satellite,pipe,shadow,swing,fall,heart,gas,turkey,cap,tower,ground,box,octopus,lawyer,dance,conductor,suit,pyramid,jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",length,fork,circle,fan,point,flute,egypt,round,well,fork,lemon,luck,circle,cold,thumb,march,ghost,grass,jack,heart,ham,board,olympus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",single,bottle,king,opera,carrot,satellite,tag,africa,fire,bottle,snowman,cloak,king,egypt,whip,bark,pistol,spider,boot,hood,rose,jupiter,charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",date,nurse,needle,tie,nurse,needle,shadow,pirate,ground,ruler,fish,kid,scientist,post,flute,boom,foot,racket,head,cloak,figure,brush,phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",night,beach,india,beach,robot,whip,india,boom,watch,key,bug,parachute,kid,pit,flute,plate,march,africa,field,bottle,change,torch,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",outdoor,board,alps,cross,mammoth,torch,mercury,compound,moon,board,hood,alps,shoe,piano,pistol,box,washer,greece,fall,grass,jupiter,disease,cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",telephone,spot,jet,server,car,vacuum,spot,play,beijing,soul,nut,lock,jet,port,pit,well,pirate,saturn,grass,cloak,unicorn,green,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",poet,pound,robin,oil,ice,kangaroo,pound,bomb,robin,amazon,alps,brush,pyramid,pan,march,round,ghost,ruler,cold,glove,shoe,suit,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bertWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",central,germany,casino,table,kangaroo,glass,germany,gold,field,casino,pistol,kid,lock,server,oil,point,nurse,beach,march,pipe,tap,ivory,drill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",gigantic,mammoth,giant,dwarf,bolt,beach,boom,well,mammoth,ivory,nut,sink,giant,bison,egypt,mouse,field,cell,head,crown,ham,fall,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",drop,swing,fall,point,satellite,pipe,shadow,swing,fall,heart,gas,turkey,cap,tower,ground,box,octopus,lawyer,dance,conductor,suit,pyramid,jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",good,well,luck,fan,point,flute,egypt,round,well,fork,lemon,luck,circle,cold,thumb,march,ghost,grass,jack,heart,ham,board,olympus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",television,opera,satellite,opera,carrot,satellite,tag,africa,fire,bottle,snowman,cloak,king,egypt,whip,bark,pistol,spider,boot,hood,rose,jupiter,charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",doctor,nurse,scientist,tie,nurse,needle,shadow,pirate,ground,ruler,fish,kid,scientist,post,flute,boom,foot,racket,head,cloak,figure,brush,phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",catch,watch,bug,beach,robot,whip,india,boom,watch,key,bug,parachute,kid,pit,flute,plate,march,africa,field,bottle,change,torch,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",pass,cross,torch,cross,mammoth,torch,mercury,compound,moon,board,hood,alps,shoe,piano,pistol,box,washer,greece,fall,grass,jupiter,disease,cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",place,spot,play,server,car,vacuum,spot,play,beijing,soul,nut,lock,jet,port,pit,well,pirate,saturn,grass,cloak,unicorn,green,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",glacier,ice,alps,oil,ice,kangaroo,pound,bomb,robin,amazon,alps,brush,pyramid,pan,march,round,ghost,ruler,cold,glove,shoe,suit,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasttextWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",bolt,pistol,lock,table,kangaroo,glass,germany,gold,field,casino,pistol,kid,lock,server,oil,point,nurse,beach,march,pipe,tap,ivory,drill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial0,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",lightning,bolt,boom,dwarf,bolt,beach,boom,well,mammoth,ivory,nut,sink,giant,bison,egypt,mouse,field,cell,head,crown,ham,fall,scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial1,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",organ,pipe,heart,point,satellite,pipe,shadow,swing,fall,heart,gas,turkey,cap,tower,ground,box,octopus,lawyer,dance,conductor,suit,pyramid,jet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial2,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",disk,round,circle,fan,point,flute,egypt,round,well,fork,lemon,luck,circle,cold,thumb,march,ghost,grass,jack,heart,ham,board,olympus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial3,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",classical,opera,fire,opera,carrot,satellite,tag,africa,fire,bottle,snowman,cloak,king,egypt,whip,bark,pistol,spider,boot,hood,rose,jupiter,charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial4,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",device,needle,ruler,tie,nurse,needle,shadow,pirate,ground,ruler,fish,kid,scientist,post,flute,boom,foot,racket,head,cloak,figure,brush,phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial5,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",microphone,boom,bug,beach,robot,whip,india,boom,watch,key,bug,parachute,kid,pit,flute,plate,march,africa,field,bottle,change,torch,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial6,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",whole,cross,compound,cross,mammoth,torch,mercury,compound,moon,board,hood,alps,shoe,piano,pistol,box,washer,greece,fall,grass,jupiter,disease,cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial7,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",space,vacuum,spot,server,car,vacuum,spot,play,beijing,soul,nut,lock,jet,port,pit,well,pirate,saturn,grass,cloak,unicorn,green,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial8,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",water,ice,amazon,oil,ice,kangaroo,pound,bomb,robin,amazon,alps,brush,pyramid,pan,march,round,ghost,ruler,cold,glove,shoe,suit,game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babelnetWithHeuristicsTrial9,"{'verbose': False, 'visualize': False, 'split_multi_word': True, 'disable_verb_split': True, 'debug_file': None, 'length_exp_scaling': None, 'use_heuristics': True, 'single_word_label_scores': (1, 1.1, 1.1, 1.2)}",country,germany,field,table,kangaroo,glass,germany,gold,field,casino,pistol,kid,lock,server,oil,point,nurse,beach,march,pipe,tap,ivory,drill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
